  x,y,z,rho,u,v,w,p
     0.000000,      0.000000,      0.000000,      0.807753,    279.125427,      1.559990,      0.000000,  60162.308594
     0.169490,      0.000000,      0.000000,      0.818055,    281.721375,      5.141194,      0.000000,  61245.722656
     0.338980,      0.000000,      0.000000,      0.834467,    284.730835,      8.906310,      0.000000,  62957.410156
     0.508470,      0.000000,      0.000000,      0.831519,    280.290924,      5.642270,      0.000000,  62668.359375
     0.677970,      0.000000,      0.000000,      0.795079,    264.370361,     -5.152144,      0.000000,  58914.972656
     0.847460,      0.000000,      0.000000,      0.744056,    242.868500,    -16.864532,      0.000000,  53617.601562
     1.016950,      0.000000,      0.000000,      0.707972,    226.844696,    -21.727949,      0.000000,  49875.984375
     1.186440,      0.000000,      0.000000,      0.698937,    222.253510,    -17.952332,      0.000000,  48979.984375
     1.355930,      0.000000,      0.000000,      0.708591,    225.596054,    -10.270692,      0.000000,  50013.800781
     1.525420,      0.000000,      0.000000,      0.722251,    230.426865,     -3.764937,      0.000000,  51429.859375
     1.694920,      0.000000,      0.000000,      0.730746,    233.303055,     -0.203300,      0.000000,  52299.078125
     1.864410,      0.000000,      0.000000,      0.733031,    234.158554,      1.338982,      0.000000,  52530.378906
     2.033900,      0.000000,      0.000000,      0.732392,    234.512329,      2.329965,      0.000000,  52463.140625
     2.203390,      0.000000,      0.000000,      0.730056,    235.158813,      2.650466,      0.000000,  52221.359375
     2.372880,      0.000000,      0.000000,      0.723427,    235.042465,      1.369061,      0.000000,  51539.320312
     2.542370,      0.000000,      0.000000,      0.714707,    234.764099,     -1.034632,      0.000000,  50620.773438
     2.711860,      0.000000,      0.000000,      0.714914,    239.214371,     -3.664326,      0.000000,  50419.824219
     2.881360,      0.000000,      0.000000,      0.754679,    258.116730,     -4.855952,      0.000000,  53321.128906
     3.050850,      0.000800,      0.000000,      0.855273,    287.000610,      0.210284,      0.000000,  61344.859375
     3.220340,      0.014820,      0.000000,      0.984526,    310.821777,     15.148891,      0.000000,  72373.367188
     3.389830,      0.045420,      0.000000,      1.089462,    326.425262,     39.578754,      0.000000,  81830.210938
     3.559320,      0.090440,      0.000000,      1.138081,    335.911896,     70.636162,      0.000000,  86466.242188
     3.728810,      0.146700,      0.000000,      1.121650,    340.539734,    103.653198,      0.000000,  85163.882812
     3.898310,      0.210230,      0.000000,      1.047410,    339.401886,    132.619308,      0.000000,  78651.968750
     4.067800,      0.276570,      0.000000,      0.936652,    328.506226,    150.769211,      0.000000,  69364.687500
