  x,y,z,rho,u,v,w,p
     0.000000,      0.000000,      0.000000,      0.843462,    272.741241,      2.368499,      0.000000,  63992.953125
     0.169490,      0.000000,      0.000000,      0.812066,    262.619263,      3.950374,      0.000000,  60753.558594
     0.338980,      0.000000,      0.000000,      0.770042,    247.094131,      4.077209,      0.000000,  56376.628906
     0.508470,      0.000000,      0.000000,      0.746085,    236.818268,      1.729780,      0.000000,  53871.183594
     0.677970,      0.000000,      0.000000,      0.738044,    233.209259,      0.416039,      0.000000,  53035.597656
     0.847460,      0.000000,      0.000000,      0.736304,    232.429749,      0.064102,      0.000000,  52856.664062
     1.016950,      0.000000,      0.000000,      0.736052,    232.317719,      0.006712,      0.000000,  52830.984375
     1.186440,      0.000000,      0.000000,      0.736028,    232.306854,      0.000083,      0.000000,  52828.535156
     1.355930,      0.000000,      0.000000,      0.736025,    232.306168,     -0.003867,      0.000000,  52828.214844
     1.525420,      0.000000,      0.000000,      0.736023,    232.306015,     -0.000970,      0.000000,  52827.976562
     1.694920,      0.000000,      0.000000,      0.736023,    232.305801,      0.003587,      0.000000,  52827.976562
     1.864410,      0.000000,      0.000000,      0.736023,    232.305756,      0.001265,      0.000000,  52828.027344
     2.033900,      0.000000,      0.000000,      0.736024,    232.305740,      0.001002,      0.000000,  52828.058594
     2.203390,      0.000000,      0.000000,      0.736035,    232.307678,      0.010878,      0.000000,  52829.242188
     2.372880,      0.000000,      0.000000,      0.736032,    232.322525,      0.030552,      0.000000,  52829.097656
     2.542370,      0.000000,      0.000000,      0.735638,    232.390396,     -0.069017,      0.000000,  52786.523438
     2.711860,      0.000000,      0.000000,      0.734895,    233.272675,     -0.289565,      0.000000,  52640.683594
     2.881360,      0.000000,      0.000000,      0.742631,    239.316360,      0.029258,      0.000000,  52990.695312
     3.050850,      0.000800,      0.000000,      0.760504,    247.750519,      2.895841,      0.000000,  54208.003906
     3.220340,      0.014820,      0.000000,      0.774483,    251.093521,     14.415467,      0.000000,  55427.359375
     3.389830,      0.045420,      0.000000,      0.777643,    249.356461,     33.157810,      0.000000,  55900.910156
     3.559320,      0.090440,      0.000000,      0.772091,    245.010086,     53.286285,      0.000000,  55627.585938
     3.728810,      0.146700,      0.000000,      0.760619,    239.789444,     70.796059,      0.000000,  54812.257812
     3.898310,      0.210230,      0.000000,      0.745008,    234.925125,     83.978531,      0.000000,  53614.351562
     4.067800,      0.276570,      0.000000,      0.726897,    231.325485,     92.136635,      0.000000,  52186.234375
     4.237290,      0.341040,      0.000000,      0.708162,    229.611282,     94.811012,      0.000000,  50701.878906
     4.406780,      0.399090,      0.000000,      0.690878,    230.044586,     91.512589,      0.000000,  49353.484375
     4.576270,      0.446640,      0.000000,      0.677203,    232.509079,     81.766205,      0.000000,  48335.699219
     4.745760,      0.480330,      0.000000,      0.669128,    236.497925,     65.349350,      0.000000,  47817.500000
     4.915250,      0.497790,      0.000000,      0.667926,    241.097885,     42.791847,      0.000000,  47886.289062
     5.084750,      0.497790,      0.000000,      0.673491,    245.146088,     15.769165,      0.000000,  48488.078125
     5.254240,      0.480330,      0.000000,      0.684098,    247.601196,    -12.900041,      0.000000,  49420.109375
     5.423730,      0.446640,      0.000000,      0.697008,    248.010788,    -39.903187,      0.000000,  50412.476562
     5.593220,      0.399090,      0.000000,      0.709600,    246.698776,    -62.438995,      0.000000,  51247.988281
     5.762710,      0.341040,      0.000000,      0.720359,    244.576309,    -78.833069,      0.000000,  51840.574219
     5.932200,      0.276570,      0.000000,      0.729091,    242.699783,    -88.555771,      0.000000,  52230.851562
     6.101700,      0.210230,      0.000000,      0.736428,    241.868912,    -91.851456,      0.000000,  52522.597656
     6.271190,      0.146700,      0.000000,      0.743278,    242.470856,    -89.277054,      0.000000,  52826.753906
     6.440680,      0.090440,      0.000000,      0.750598,    244.449554,    -81.295731,      0.000000,  53250.335938
     6.610170,      0.045420,      0.000000,      0.759168,    247.155228,    -68.204208,      0.000000,  53900.566406
     6.779660,      0.014820,      0.000000,      0.765570,    247.849030,    -50.839481,      0.000000,  54596.085938
     6.949150,      0.000800,      0.000000,      0.760302,    242.696915,    -31.084312,      0.000000,  54573.609375
     7.118640,      0.000000,      0.000000,      0.747158,    235.960678,    -13.045649,      0.000000,  53762.191406
     7.288140,      0.000000,      0.000000,      0.738918,    233.120880,     -3.602393,      0.000000,  53088.066406
     7.457630,      0.000000,      0.000000,      0.736452,    232.409729,     -0.682245,      0.000000,  52867.339844
     7.627120,      0.000000,      0.000000,      0.736052,    232.307877,     -0.093191,      0.000000,  52830.617188
     7.796610,      0.000000,      0.000000,      0.736024,    232.304291,     -0.009757,      0.000000,  52828.097656
     7.966100,      0.000000,      0.000000,      0.736024,    232.305786,     -0.004607,      0.000000,  52828.132812
     8.135590,      0.000000,      0.000000,      0.736023,    232.305969,     -0.001139,      0.000000,  52827.972656
     8.305090,      0.000000,      0.000000,      0.736023,    232.305817,      0.003732,      0.000000,  52828.015625
     8.474580,      0.000000,      0.000000,      0.736026,    232.305801,      0.001352,      0.000000,  52828.277344
     8.644070,      0.000000,      0.000000,      0.736030,    232.305954,     -0.001875,      0.000000,  52828.695312
     8.813560,      0.000000,      0.000000,      0.736023,    232.302628,     -0.021462,      0.000000,  52828.046875
     8.983050,      0.000000,      0.000000,      0.736057,    232.270081,     -0.062828,      0.000000,  52831.464844
     9.152540,      0.000000,      0.000000,      0.736963,    232.231918,      0.139418,      0.000000,  52922.421875
     9.322030,      0.000000,      0.000000,      0.739590,    232.682739,      0.246490,      0.000000,  53182.804688
     9.491530,      0.000000,      0.000000,      0.729623,    232.578720,     -3.650457,      0.000000,  52170.789062
     9.661020,      0.000000,      0.000000,      0.715101,    223.129517,     -9.019411,      0.000000,  51175.675781
     9.830510,      0.000000,      0.000000,      0.708264,    172.292160,    106.044647,      0.000000,  51777.710938
    10.000000,      0.000000,      0.000000,      0.706259,    134.517838,    218.359879,      0.000000,  48205.777344
     0.000000,      0.157895,      0.000000,      0.846199,    273.431244,      2.342881,      0.000000,  64273.160156
     0.169490,      0.157895,      0.000000,      0.813321,    262.812286,      4.015362,      0.000000,  60882.050781
     0.338980,      0.157895,      0.000000,      0.769166,    246.479950,      4.114730,      0.000000,  56281.914062
     0.508470,      0.157895,      0.000000,      0.745419,    236.365143,      1.609729,      0.000000,  53799.683594
     0.677970,      0.157895,      0.000000,      0.737834,    233.072266,      0.359071,      0.000000,  53013.429688
     0.847460,      0.157895,      0.000000,      0.736265,    232.405823,      0.051753,      0.000000,  52852.648438
     1.016950,      0.157895,      0.000000,      0.736048,    232.315018,      0.005176,      0.000000,  52830.523438
     1.186440,      0.157895,      0.000000,      0.736027,    232.306641,      0.000131,      0.000000,  52828.445312
     1.355930,      0.157895,      0.000000,      0.736024,    232.306137,     -0.004301,      0.000000,  52828.117188
     1.525420,      0.157895,      0.000000,      0.736022,    232.305954,     -0.001099,      0.000000,  52827.953125
     1.694920,      0.157895,      0.000000,      0.736024,    232.305847,      0.003993,      0.000000,  52828.058594
     1.864410,      0.157895,      0.000000,      0.736024,    232.305847,      0.001203,      0.000000,  52828.101562
     2.033900,      0.157895,      0.000000,      0.736024,    232.305756,      0.000800,      0.000000,  52828.066406
     2.203390,      0.157895,      0.000000,      0.736034,    232.307297,      0.010561,      0.000000,  52829.101562
     2.372880,      0.157895,      0.000000,      0.736030,    232.318802,      0.036276,      0.000000,  52829.066406
     2.542370,      0.157895,      0.000000,      0.735617,    232.345688,     -0.042905,      0.000000,  52787.910156
     2.711860,      0.157895,      0.000000,      0.734415,    232.967590,     -0.193963,      0.000000,  52614.277344
     2.881360,      0.157895,      0.000000,      0.741092,    238.996719,      0.078032,      0.000000,  52862.109375
     3.050850,      0.158653,      0.000000,      0.754003,    247.577850,      2.095565,      0.000000,  53573.214844
     3.220340,      0.171935,      0.000000,      0.760365,    250.788513,     12.897532,      0.000000,  54034.683594
     3.389830,      0.200924,      0.000000,      0.760010,    248.966095,     31.043501,      0.000000,  54154.132812
     3.559320,      0.243575,      0.000000,      0.755810,    244.843521,     50.492512,      0.000000,  54007.523438
     3.728810,      0.296874,      0.000000,      0.748532,    240.062424,     67.366348,      0.000000,  53605.023438
     3.898310,      0.357060,      0.000000,      0.738723,    235.718246,     80.064560,      0.000000,  52983.390625
     4.067800,      0.419908,      0.000000,      0.727367,    232.641281,     87.926453,      0.000000,  52228.378906
     4.237290,      0.480985,      0.000000,      0.715789,    231.412857,     90.515938,      0.000000,  51457.402344
     4.406780,      0.535980,      0.000000,      0.705446,    232.265121,     87.388405,      0.000000,  50800.203125
     4.576270,      0.581027,      0.000000,      0.697842,    235.058472,     78.139587,      0.000000,  50385.644531
     4.745760,      0.612944,      0.000000,      0.694324,    239.274780,     62.604183,      0.000000,  50318.378906
     4.915250,      0.629485,      0.000000,      0.695626,    244.002914,     41.301788,      0.000000,  50632.648438
     5.084750,      0.629485,      0.000000,      0.701357,    248.097488,     15.766175,      0.000000,  51247.433594
     5.254240,      0.612944,      0.000000,      0.709870,    250.533920,    -11.430522,      0.000000,  51969.570312
     5.423730,      0.581027,      0.000000,      0.718895,    250.859436,    -37.213051,      0.000000,  52576.640625
     5.593220,      0.535980,      0.000000,      0.726511,    249.379303,    -58.909657,      0.000000,  52921.257812
     5.762710,      0.480985,      0.000000,      0.731912,    246.988785,    -74.848007,      0.000000,  52987.101562
     5.932200,      0.419908,      0.000000,      0.735395,    244.744507,    -84.431122,      0.000000,  52862.910156
     6.101700,      0.357060,      0.000000,      0.737793,    243.459549,    -87.828377,      0.000000,  52671.890625
     6.271190,      0.296874,      0.000000,      0.740022,    243.546356,    -85.553772,      0.000000,  52525.003906
     6.440680,      0.243575,      0.000000,      0.742970,    244.992371,    -78.063896,      0.000000,  52519.796875
     6.610170,      0.200924,      0.000000,      0.747535,    247.287018,    -65.665909,      0.000000,  52766.109375
     6.779660,      0.171935,      0.000000,      0.750838,    247.742905,    -49.161949,      0.000000,  53133.535156
     6.949150,      0.158653,      0.000000,      0.744971,    242.083679,    -30.041887,      0.000000,  53052.691406
     7.118640,      0.157895,      0.000000,      0.736773,    235.079880,    -12.106505,      0.000000,  52740.003906
     7.288140,      0.157895,      0.000000,      0.735160,    232.646790,     -3.204988,      0.000000,  52716.367188
     7.457630,      0.157895,      0.000000,      0.735616,    232.269714,     -0.594236,      0.000000,  52784.242188
     7.627120,      0.157895,      0.000000,      0.735928,    232.282730,     -0.081117,      0.000000,  52818.191406
