  x,y,z,rho,u,v,w,p
     0.677970,      0.157895,      0.000000,      0.772420,    258.618866,     -9.052330,      0.000000,  56577.773438
     0.847460,      0.157895,      0.000000,      0.732929,    240.712509,    -15.750144,      0.000000,  52486.398438
     1.016950,      0.157895,      0.000000,      0.717690,    231.676727,    -14.463163,      0.000000,  50925.617188
     1.186440,      0.157895,      0.000000,      0.723615,    231.701233,     -7.990608,      0.000000,  51562.457031
     1.355930,      0.157895,      0.000000,      0.735862,    234.904495,     -1.714849,      0.000000,  52827.910156
     1.525420,      0.157895,      0.000000,      0.743343,    236.865021,      1.678180,      0.000000,  53586.304688
     1.694920,      0.157895,      0.000000,      0.743798,    236.699432,      2.505589,      0.000000,  53624.628906
     1.864410,      0.157895,      0.000000,      0.740514,    235.552933,      2.394829,      0.000000,  53286.171875
     2.033900,      0.157895,      0.000000,      0.736941,    234.897461,      2.489508,      0.000000,  52921.648438
     2.203390,      0.157895,      0.000000,      0.732377,    234.851624,      2.187783,      0.000000,  52459.214844
     2.372880,      0.157895,      0.000000,      0.723984,    234.007843,      1.115644,      0.000000,  51612.250000
     2.542370,      0.157895,      0.000000,      0.715572,    233.651398,      0.916504,      0.000000,  50764.812500
     2.711860,      0.157895,      0.000000,      0.713554,    238.307175,      1.547889,      0.000000,  50437.878906
     2.881360,      0.157895,      0.000000,      0.738667,    256.124084,      0.955185,      0.000000,  51930.507812
     3.050850,      0.158653,      0.000000,      0.802351,    282.204102,      1.821548,      0.000000,  56238.976562
     3.220340,      0.171935,      0.000000,      0.880821,    303.032043,     10.680270,      0.000000,  62146.039062
     3.389830,      0.200924,      0.000000,      0.951862,    316.898346,     30.931156,      0.000000,  68142.390625
     3.559320,      0.243575,      0.000000,      1.005214,    325.943390,     60.532372,      0.000000,  73243.898438
     3.728810,      0.296874,      0.000000,      1.030956,    330.342499,     93.421783,      0.000000,  76351.992188
     3.898310,      0.357060,      0.000000,      1.019816,    328.103363,    122.229080,      0.000000,  76523.617188
     4.067800,      0.419908,      0.000000,      0.971912,    315.710510,    140.358948,      0.000000,  73831.257812
     4.237290,      0.480985,      0.000000,      0.899455,    289.110596,    143.005280,      0.000000,  69403.460938
     4.406780,      0.535980,      0.000000,      0.818803,    246.489288,    128.383347,      0.000000,  64309.691406
     4.576270,      0.581027,      0.000000,      0.741372,    192.687347,     99.585197,      0.000000,  58705.191406
     4.745760,      0.612944,      0.000000,      0.672438,    139.893921,     64.393425,      0.000000,  52553.664062
     4.915250,      0.629485,      0.000000,      0.615433,    101.518059,     31.311798,      0.000000,  46634.148438
     5.084750,      0.629485,      0.000000,      0.574077,     85.048943,      5.046122,      0.000000,  42083.921875
     5.254240,      0.612944,      0.000000,      0.550934,     90.056160,    -14.296679,      0.000000,  39458.246094
     5.423730,      0.581027,      0.000000,      0.546525,    111.223183,    -28.786497,      0.000000,  38673.902344
     5.593220,      0.535980,      0.000000,      0.559970,    142.210876,    -40.537991,      0.000000,  39421.824219
     5.762710,      0.480985,      0.000000,      0.588684,    177.121552,    -51.345997,      0.000000,  41306.246094
     5.932200,      0.419908,      0.000000,      0.627226,    210.547226,    -62.630112,      0.000000,  43772.898438
     6.101700,      0.357060,      0.000000,      0.669555,    238.933777,    -74.451126,      0.000000,  46323.449219
