   10,      0.011506,      0.002889,      0.004928
   15,      0.013072,      0.003411,      0.004605
   20,      0.013535,      0.003925,      0.004392
   25,      0.013577,      0.004390,      0.003875
   30,      0.013737,      0.004746,      0.003422
   35,      0.013343,      0.004950,      0.003229
   40,      0.012933,      0.005026,      0.003109
   45,      0.012794,      0.005059,      0.002931
   50,      0.012569,      0.005123,      0.002795
   55,      0.012043,      0.005109,      0.002687
   60,      0.011807,      0.005015,      0.002606
   65,      0.011429,      0.004864,      0.002556
   70,      0.011321,      0.004653,      0.002519
   75,      0.011262,      0.004374,      0.002641
   80,      0.011122,      0.004037,      0.002813
   85,      0.010889,      0.003712,      0.002928
   90,      0.010568,      0.003440,      0.002958
   95,      0.010505,      0.003207,      0.002895
  100,      0.010536,      0.003009,      0.002836
  105,      0.010459,      0.002838,      0.002808
  110,      0.010214,      0.002718,      0.002758
  115,      0.009733,      0.002570,      0.002747
  120,      0.009039,      0.002385,      0.002768
  125,      0.008282,      0.002186,      0.002762
  130,      0.007717,      0.002022,      0.002675
  135,      0.007416,      0.001885,      0.002501
  140,      0.007312,      0.001768,      0.002295
  145,      0.007262,      0.001693,      0.002088
  150,      0.006983,      0.001641,      0.001882
  155,      0.006455,      0.001625,      0.001695
  160,      0.005754,      0.001590,      0.001550
  165,      0.005037,      0.001553,      0.001471
  170,      0.004365,      0.001510,      0.001416
  175,      0.004089,      0.001440,      0.001369
  180,      0.004341,      0.001363,      0.001333
  185,      0.004787,      0.001326,      0.001294
  190,      0.005061,      0.001338,      0.001246
  195,      0.005200,      0.001338,      0.001190
  200,      0.005211,      0.001315,      0.001136
  205,      0.005101,      0.001269,      0.001092
  210,      0.004907,      0.001207,      0.001057
  215,      0.004648,      0.001140,      0.001026
  220,      0.004360,      0.001076,      0.000998
  225,      0.004098,      0.001020,      0.000966
  230,      0.003926,      0.000976,      0.000927
  235,      0.003793,      0.000944,      0.000885
  240,      0.003671,      0.000916,      0.000845
  245,      0.003580,      0.000887,      0.000817
  250,      0.003440,      0.000856,      0.000803
  255,      0.003257,      0.000820,      0.000801
  260,      0.003070,      0.000782,      0.000802
  265,      0.002935,      0.000743,      0.000800
  270,      0.002892,      0.000707,      0.000793
  275,      0.002899,      0.000677,      0.000780
  280,      0.002914,      0.000654,      0.000761
  285,      0.002923,      0.000637,      0.000737
  290,      0.002907,      0.000625,      0.000710
  295,      0.002871,      0.000619,      0.000682
  300,      0.002820,      0.000611,      0.000654
  305,      0.002756,      0.000601,      0.000631
  310,      0.002687,      0.000590,      0.000607
  315,      0.002610,      0.000578,      0.000582
  320,      0.002532,      0.000566,      0.000554
  325,      0.002469,      0.000556,      0.000521
  330,      0.002437,      0.000547,      0.000484
  335,      0.002409,      0.000540,      0.000446
  340,      0.002374,      0.000535,      0.000407
  345,      0.002329,      0.000531,      0.000372
  350,      0.002275,      0.000526,      0.000350
  355,      0.002216,      0.000519,      0.000337
  360,      0.002154,      0.000510,      0.000329
  365,      0.002107,      0.000500,      0.000326
  370,      0.002075,      0.000489,      0.000326
  375,      0.002054,      0.000477,      0.000330
  380,      0.002044,      0.000465,      0.000334
  385,      0.002036,      0.000453,      0.000340
  390,      0.002027,      0.000443,      0.000347
  395,      0.002020,      0.000433,      0.000356
  400,      0.002007,      0.000427,      0.000366
  405,      0.001988,      0.000422,      0.000377
  410,      0.001967,      0.000418,      0.000387
  415,      0.001940,      0.000414,      0.000396
  420,      0.001910,      0.000411,      0.000403
  425,      0.001874,      0.000409,      0.000407
  430,      0.001840,      0.000408,      0.000408
  435,      0.001804,      0.000413,      0.000405
  440,      0.001768,      0.000422,      0.000399
  445,      0.001734,      0.000433,      0.000389
  450,      0.001704,      0.000445,      0.000375
  455,      0.001678,      0.000456,      0.000358
  460,      0.001658,      0.000465,      0.000339
  465,      0.001640,      0.000472,      0.000317
  470,      0.001624,      0.000477,      0.000295
  475,      0.001610,      0.000480,      0.000273
  480,      0.001594,      0.000481,      0.000252
  485,      0.001575,      0.000480,      0.000234
  490,      0.001553,      0.000477,      0.000218
  495,      0.001525,      0.000474,      0.000207
  500,      0.001492,      0.000469,      0.000200
  505,      0.001454,      0.000466,      0.000197
  510,      0.001412,      0.000462,      0.000196
  515,      0.001367,      0.000458,      0.000198
  520,      0.001321,      0.000454,      0.000200
  525,      0.001276,      0.000448,      0.000203
  530,      0.001235,      0.000441,      0.000206
  535,      0.001198,      0.000432,      0.000208
  540,      0.001166,      0.000423,      0.000211
  545,      0.001140,      0.000412,      0.000213
  550,      0.001121,      0.000400,      0.000215
  555,      0.001107,      0.000388,      0.000215
  560,      0.001102,      0.000375,      0.000215
  565,      0.001104,      0.000362,      0.000212
  570,      0.001114,      0.000348,      0.000209
  575,      0.001131,      0.000335,      0.000205
  580,      0.001149,      0.000321,      0.000201
  585,      0.001166,      0.000307,      0.000197
  590,      0.001179,      0.000293,      0.000192
  595,      0.001191,      0.000280,      0.000189
  600,      0.001197,      0.000267,      0.000186
  605,      0.001200,      0.000254,      0.000184
  610,      0.001201,      0.000241,      0.000183
  615,      0.001201,      0.000228,      0.000184
  620,      0.001204,      0.000216,      0.000185
  625,      0.001209,      0.000206,      0.000187
  630,      0.001213,      0.000196,      0.000188
  635,      0.001218,      0.000188,      0.000189
  640,      0.001222,      0.000180,      0.000189
  645,      0.001227,      0.000173,      0.000188
  650,      0.001233,      0.000165,      0.000186
  655,      0.001240,      0.000159,      0.000183
  660,      0.001249,      0.000152,      0.000178
  665,      0.001260,      0.000147,      0.000173
  670,      0.001271,      0.000143,      0.000166
