   10,      0.010862,      0.003141,      0.004763,      0.050528
   15,      0.011652,      0.003744,      0.004707,      0.054988
   20,      0.011544,      0.004293,      0.004195,      0.056224
   25,      0.011880,      0.004672,      0.003524,      0.058812
   30,      0.011547,      0.004867,      0.003409,      0.057791
   35,      0.011368,      0.004917,      0.003374,      0.056356
   40,      0.011621,      0.005011,      0.003145,      0.056369
   45,      0.011388,      0.005063,      0.003003,      0.054792
   50,      0.010960,      0.004994,      0.002959,      0.053633
   55,      0.010949,      0.004842,      0.002888,      0.052907
   60,      0.010994,      0.004581,      0.002866,      0.053074
   65,      0.010882,      0.004231,      0.003166,      0.052618
   70,      0.010808,      0.003866,      0.003412,      0.051775
   75,      0.010642,      0.003593,      0.003510,      0.050709
   80,      0.010561,      0.003367,      0.003430,      0.050429
   85,      0.010557,      0.003174,      0.003357,      0.050416
   90,      0.010533,      0.002997,      0.003276,      0.050439
   95,      0.010214,      0.002842,      0.003250,      0.049032
  100,      0.009516,      0.002693,      0.003304,      0.045502
  105,      0.008696,      0.002570,      0.003312,      0.041512
  110,      0.008177,      0.002491,      0.003195,      0.039131
  115,      0.007867,      0.002405,      0.002948,      0.037358
  120,      0.007615,      0.002289,      0.002642,      0.035876
  125,      0.007698,      0.002189,      0.002332,      0.035651
  130,      0.007465,      0.002122,      0.002103,      0.034246
  135,      0.006850,      0.002089,      0.001937,      0.031026
  140,      0.006050,      0.002055,      0.001830,      0.027225
  145,      0.005418,      0.001985,      0.001732,      0.023713
  150,      0.005168,      0.001848,      0.001616,      0.022110
  155,      0.005633,      0.001734,      0.001511,      0.023475
  160,      0.005894,      0.001665,      0.001467,      0.024380
  165,      0.005870,      0.001654,      0.001431,      0.024159
  170,      0.005678,      0.001600,      0.001393,      0.023497
  175,      0.005471,      0.001519,      0.001368,      0.022582
  180,      0.005205,      0.001433,      0.001354,      0.021287
  185,      0.004901,      0.001356,      0.001346,      0.019821
  190,      0.004660,      0.001301,      0.001328,      0.018624
  195,      0.004472,      0.001257,      0.001290,      0.017867
  200,      0.004316,      0.001217,      0.001231,      0.017332
  205,      0.004250,      0.001186,      0.001164,      0.017063
  210,      0.004109,      0.001149,      0.001115,      0.016575
  215,      0.003874,      0.001102,      0.001083,      0.015521
