  x,y,z,rho,u,v,w,p
    -0.377120,      0.705540,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.363190,      0.712810,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.349130,      0.719800,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.334930,      0.726510,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.320600,      0.732950,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.306150,      0.739100,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.291580,      0.744970,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.276890,      0.750550,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.262100,      0.755840,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.247210,      0.760850,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.232230,      0.765550,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.217150,      0.769960,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.201990,      0.774080,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.186760,      0.777900,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.171450,      0.781410,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.156070,      0.784630,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.140640,      0.787540,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.125150,      0.790150,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.109610,      0.792460,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.094030,      0.794450,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.078410,      0.796150,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.062770,      0.797530,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.047100,      0.798610,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.031410,      0.799380,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.015710,      0.799850,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.000000,      0.800000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.017670,      0.800170,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.037110,      0.800360,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.058490,      0.800570,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.082010,      0.800810,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.107880,      0.801060,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.136340,      0.801340,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.167640,      0.801650,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.202080,      0.801980,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.239950,      0.802360,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.281620,      0.802760,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.806897,     -0.239970,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.806897,     -0.202090,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.806897,     -0.167650,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.806897,     -0.136340,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.806897,     -0.107880,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.806897,     -0.082010,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.806897,     -0.058490,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.806897,     -0.037110,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.806897,     -0.017670,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.806897,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.806745,      0.015845,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.806271,      0.031681,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.805495,      0.047506,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.804406,      0.063311,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.803013,      0.079086,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.801299,      0.094841,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.799291,      0.110555,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.796962,      0.126229,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.794329,      0.141852,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.791394,      0.157416,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.788147,      0.172928,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.784606,      0.188370,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.780753,      0.203731,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.776598,      0.219022,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.772150,      0.234232,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.767409,      0.249341,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.762356,      0.264360,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.757020,      0.279277,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.751392,      0.294093,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.745472,      0.308789,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.739269,      0.323364,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.732773,      0.337817,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.726005,      0.352140,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.718955,      0.366321,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
